Type,Millis,Data1,Data2,Data3,Data4,Data5,Data6
IMU,32198,0,758,714,-6,-4,0
IMU,32208,6,757,707,-6,-3,0
IMU,32217,0,760,713,-6,-3,0
IMU,32227,-4,759,709,-6,-3,0
IMU,32237,-3,762,717,-7,-3,0
IMU,32247,-5,762,712,-6,-3,0
IMU,32256,-6,763,720,-6,-3,0
IMU,32266,-15,764,712,-6,-3,0
IMU,32276,-27,766,719,-6,-3,0
IMU,32286,-27,768,714,-6,-4,0
IMU,32295,-28,767,715,-6,-4,1
IMU,32305,-19,764,712,-6,-5,1
IMU,32315,-15,767,723,-7,-5,2
IMU,32325,-17,767,719,-7,-5,2
IMU,32334,-11,767,715,-6,-5,2
IMU,32344,-3,765,712,-6,-5,2
IMU,32354,-1,768,714,-6,-5,2
IMU,32364,-1,765,712,-7,-5,2
IMU,32374,-5,760,713,-6,-5,2
IMU,32383,-5,766,710,-7,-6,2
IMU,32393,-3,755,699,-6,-6,3
IMU,32403,-9,751,736,-6,-6,3
IMU,32413,7,745,707,-7,-6,3
IMU,32422,14,747,740,-6,-6,3
IMU,32432,10,754,707,-8,-6,3
IMU,32442,1,752,724,-6,-6,3
IMU,32452,-5,756,716,-8,-7,3
IMU,32461,8,753,711,-6,-7,4
IMU,32471,4,761,715,-8,-7,4
IMU,32481,2,755,719,-6,-8,4
IMU,32491,4,759,740,-8,-8,4
IMU,32500,-7,752,704,-6,-8,5
IMU,32510,5,757,734,-8,-8,5
IMU,32520,15,753,709,-7,-8,5
IMU,32530,26,762,732,-7,-8,5
IMU,32540,32,760,690,-7,-7,4
IMU,32549,27,763,712,-7,-7,4
IMU,32559,25,759,698,-7,-7,4
IMU,32569,14,760,713,-7,-7,4
IMU,32579,14,749,697,-7,-7,4
IMU,32588,13,751,706,-7,-7,4
IMU,32598,15,746,700,-7,-8,4
IMU,32608,15,751,707,-7,-8,4
IMU,32618,8,751,693,-7,-8,5
IMU,32627,11,757,694,-7,-8,5
IMU,32637,15,750,700,-7,-9,5
IMU,32647,17,746,707,-8,-9,5
IMU,32657,18,746,713,-7,-9,5
IMU,32666,16,746,716,-7,-9,5
IMU,32676,22,747,720,-7,-9,5
IMU,32686,23,748,722,-7,-9,5
IMU,32696,28,755,723,-7,-9,6
IMU,32706,24,754,718,-7,-9,6
IMU,32715,29,758,722,-7,-9,6
IMU,32725,37,756,721,-7,-9,6
IMU,32735,31,760,731,-7,-9,5
IMU,32745,21,757,721,-7,-9,5
IMU,32754,10,760,730,-7,-9,5
IMU,32764,12,756,721,-7,-9,6
IMU,32774,17,758,729,-7,-10,6
IMU,32784,20,758,723,-7,-9,6
IMU,32793,19,762,732,-7,-9,6
IMU,32803,21,761,722,-7,-9,5
IMU,32813,23,763,728,-7,-9,5
IMU,32823,22,762,718,-7,-8,5
IMU,32833,23,766,724,-7,-8,5
IMU,32842,20,763,717,-7,-8,5
IMU,32852,21,768,724,-7,-9,5
IMU,32862,23,763,718,-7,-9,5
IMU,32872,19,765,728,-7,-9,5
IMU,32881,19,765,727,-7,-9,5
IMU,32891,12,769,733,-7,-9,5
IMU,32901,7,771,729,-7,-9,6
IMU,32911,11,775,739,-7,-10,6
IMU,32920,17,774,740,-7,-10,6
IMU,32930,23,774,741,-7,-9,6
IMU,32940,22,771,740,-7,-9,6
IMU,32950,24,774,742,-7,-9,6
IMU,32959,27,773,748,-7,-9,5
